gene_ID,Name,moduleColor,MM,Mycobrowser Functional Category,GO-SLIM: biological_process,GO-SLIM: molecular_function
gene:Rv0067c,Rv0067c,turquoise,0.450644334,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0068,Rv0068,purple,0.6398976,intermediary metabolism and respiration,NA,NA
gene:Rv0069c,sdaA,blue,0.553975484,intermediary metabolism and respiration,carbohydrate metabolic process,lyase activity
gene:Rv0070c,glyA2,blue,0.15614868,intermediary metabolism and respiration,"cellular amino acid metabolic process, cellular modified amino acid metabolic process, vitamin metabolic process",transferase activity
gene:Rv0071,Rv0071,black,0.221615859,information pathways,NA,NA
gene:Rv0072,Rv0072,tan,0.83495313,cell wall and cell processes,NA,NA
gene:Rv0073,Rv0073,pink,0.905871354,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0074,Rv0074,pink,0.833918415,conserved hypotheticals,NA,hydrolase activity
gene:Rv0075,Rv0075,pink,0.827299618,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0076c,Rv0076c,purple,0.820394027,cell wall and cell processes,NA,NA
gene:Rv0077c,Rv0077c,red,0.707158568,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv0078,Rv0078,greenyellow,0.494631054,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0078A,Rv0078A,white,0.677947348,conserved hypotheticals,NA,NA
gene:Rv0078B,Rv0078B,turquoise,0.491723375,conserved hypotheticals,NA,NA
gene:Rv0079,Rv0079,cyan,0.666078824,conserved hypotheticals,NA,NA
gene:Rv0080,Rv0080,cyan,0.635059698,conserved hypotheticals,NA,NA
gene:Rv0081,Rv0081,cyan,0.540249169,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0082,Rv0082,darkgrey,0.519935348,intermediary metabolism and respiration,NA,NA
gene:Rv0083,Rv0083,darkgrey,0.534293102,intermediary metabolism and respiration,generation of precursor metabolites and energy,"transmembrane transport, generation of precursor metabolites and energy, oxidoreductase activity, transporter activity"
gene:Rv0084,hycD,pink,0.446049354,intermediary metabolism and respiration,NA,lyase activity
gene:Rv0085,hycP,magenta,0.553782627,intermediary metabolism and respiration,NA,NA
gene:Rv0086,hycQ,magenta,0.59715621,intermediary metabolism and respiration,NA,NA
gene:Rv0087,hycE,blue,0.502543487,intermediary metabolism and respiration,generation of precursor metabolites and energy,"transmembrane transport, generation of precursor metabolites and energy, oxidoreductase activity, transporter activity"
gene:Rv0088,Rv0088,blue,0.270411319,lipid metabolism,NA,NA
gene:Rv0089,Rv0089,salmon,0.42101554,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0090,Rv0090,paleturquoise,0.647279996,cell wall and cell processes,NA,NA
gene:Rv0091,mtn,skyblue,0.767573883,intermediary metabolism and respiration,NA,NA
gene:Rv0092,ctpA,darkred,0.484644664,cell wall and cell processes,"metal ion homeostasis, transmembrane transport","transmembrane transport, transporter activity, hydrolase activity"
gene:Rv0093c,Rv0093c,lightcyan,0.511286699,cell wall and cell processes,NA,NA
gene:Rv0094c,Rv0094c,yellow,0.187049658,insertion seqs and phages,NA,NA
gene:Rv0095c,Rv0095c,greenyellow,0.130102626,insertion seqs and phages,NA,NA
gene:Rv0096,PPE1,blue,0.395080542,PE/PPE,NA,NA
gene:Rv0097,Rv0097,blue,0.554359907,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0098,fcoT,blue,0.670512875,lipid metabolism,lipid metabolic process,"hydrolase activity, lyase activity"
gene:Rv0099,fadD10,blue,0.759466699,lipid metabolism,lipid metabolic process,ligase activity
gene:Rv0100,Rv0100,blue,0.827078873,conserved hypotheticals,lipid metabolic process,NA
gene:Rv0101,nrp,blue,0.797865315,lipid metabolism,"cellular amino acid metabolic process, lipid metabolic process",oxidoreductase activity
gene:Rv0102,Rv0102,lightsteelblue1,0.535874041,cell wall and cell processes,NA,NA
gene:Rv0103c,ctpB,blue,0.705177972,cell wall and cell processes,"metal ion homeostasis, transmembrane transport","transmembrane transport, transporter activity, hydrolase activity"
gene:Rv0104,Rv0104,darkgreen,0.665699811,conserved hypotheticals,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated"
gene:Rv0105c,rpmB1,lightcyan,0.373074938,information pathways,NA,"ribosome, structural molecule activity"
gene:Rv0106,Rv0106,darkred,0.73416395,conserved hypotheticals,NA,NA
gene:Rv0107c,ctpI,plum1,0.744894626,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity, hydrolase activity"
gene:Rv0108c,Rv0108c,darkgreen,0.474572417,conserved hypotheticals,NA,NA
gene:Rv0109,PE_PGRS1,darkgreen,0.565420945,PE/PPE,NA,NA
gene:Rv0110,Rv0110,pink,0.77828432,cell wall and cell processes,NA,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0111,Rv0111,sienna3,0.809646759,intermediary metabolism and respiration,"carbohydrate metabolic process, carbohydrate derivative metabolic process, lipid metabolic process",transferase activity
gene:Rv0112,gca,brown,0.297031724,cell wall and cell processes,NA,oxidoreductase activity
gene:Rv0113,gmhA,blue,0.57896783,cell wall and cell processes,"carbohydrate derivative metabolic process, carbohydrate metabolic process",isomerase activity
gene:Rv0114,gmhB,pink,0.748813846,cell wall and cell processes,carbohydrate metabolic process,hydrolase activity
gene:Rv0115,hddA,blue,0.813342241,cell wall and cell processes,"carbohydrate metabolic process, carbohydrate derivative metabolic process, lipid metabolic process",transferase activity
gene:Rv0116c,ldtA,white,0.915316798,cell wall and cell processes,"carbohydrate derivative metabolic process, cell wall organization or biogenesis","catalytic activity, acting on a protein, hydrolase activity, transferase activity"
gene:Rv0117,oxyS,darkturquoise,0.555791108,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated"
gene:Rv0118c,oxcA,darkred,0.694070974,intermediary metabolism and respiration,lipid metabolic process,lyase activity
gene:Rv0119,fadD7,darkred,0.65727302,lipid metabolism,lipid metabolic process,ligase activity
gene:Rv0120c,fusA2,darkgreen,0.781845675,information pathways,NA,NA
gene:Rv0121c,Rv0121c,green,0.728899201,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv0122,Rv0122,green,0.958421731,conserved hypotheticals,NA,NA
gene:Rv0123,Rv0123,green,0.943253539,conserved hypotheticals,NA,NA
gene:Rv0124,PE_PGRS2,purple,0.691678281,PE/PPE,NA,NA
gene:Rv0125,pepA,darkgrey,0.781933413,intermediary metabolism and respiration,NA,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0126,treS,mediumpurple3,0.73677303,"virulence, detoxification, adaptation","generation of precursor metabolites and energy, carbohydrate metabolic process","hydrolase activity, isomerase activity"
gene:Rv0127,mak,mediumpurple3,0.699397834,"virulence, detoxification, adaptation","carbohydrate metabolic process, generation of precursor metabolites and energy",transferase activity
gene:Rv0128,Rv0128,black,0.527800327,cell wall and cell processes,NA,NA
gene:Rv0129c,fbpC,lightyellow,0.89937839,lipid metabolism,"cell wall organization or biogenesis, carbohydrate derivative metabolic process, lipid metabolic process",transferase activity
gene:Rv0130,htdZ,magenta,0.418526277,intermediary metabolism and respiration,lipid metabolic process,lyase activity
gene:Rv0131c,fadE1,green,0.842940044,lipid metabolism,NA,oxidoreductase activity
gene:Rv0132c,fgd2,white,0.915163258,intermediary metabolism and respiration,lipid metabolic process,oxidoreductase activity
gene:Rv0133,Rv0133,brown,0.844369004,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0134,ephF,brown,0.736199866,"virulence, detoxification, adaptation",NA,hydrolase activity
gene:Rv0135c,Rv0135c,royalblue,0.620048396,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0136,cyp138,violet,0.840614742,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0137c,msrA,green,0.901055877,intermediary metabolism and respiration,protein modification process,oxidoreductase activity
gene:Rv0138,Rv0138,grey,0.317060952,conserved hypotheticals,NA,NA
gene:Rv0139,Rv0139,blue,0.650450287,intermediary metabolism and respiration,NA,lyase activity
gene:Rv0140,Rv0140,green,0.889911631,conserved hypotheticals,NA,NA
gene:Rv0141c,Rv0141c,skyblue3,0.744061396,conserved hypotheticals,NA,NA
gene:Rv0142,Rv0142,cyan,0.753182603,conserved hypotheticals,DNA repair,"catalytic activity, acting on DNA, hydrolase activity, DNA binding"
gene:Rv0143c,Rv0143c,brown,0.410488141,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0144,Rv0144,orange,0.846687439,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0145,Rv0145,saddlebrown,0.903520146,lipid metabolism,NA,transferase activity
gene:Rv0146,Rv0146,darkgrey,0.554712938,lipid metabolism,NA,transferase activity
gene:Rv0147,Rv0147,violet,0.711630408,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0148,Rv0148,violet,0.760081559,intermediary metabolism and respiration,protein modification process,oxidoreductase activity
gene:Rv0149,Rv0149,blue,-9.56E-04,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0150c,Rv0150c,black,0.494328872,conserved hypotheticals,NA,NA
gene:Rv0151c,PE1,black,0.563841114,PE/PPE,NA,NA
gene:Rv0152c,PE2,paleturquoise,0.484028686,PE/PPE,NA,NA
gene:Rv0153c,ptbB,grey,-0.170318168,regulatory proteins,NA,NA
gene:Rv0154c,fadE2,turquoise,-0.256205605,lipid metabolism,NA,oxidoreductase activity
gene:Rv0155,pntAa,sienna3,0.882286383,intermediary metabolism and respiration,generation of precursor metabolites and energy,oxidoreductase activity
gene:Rv0156,pntAb,sienna3,0.927148499,intermediary metabolism and respiration,generation of precursor metabolites and energy,oxidoreductase activity
gene:Rv0157,pntB,sienna3,0.928476475,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0157A,Rv0157A,cyan,0.794812456,conserved hypotheticals,NA,NA
gene:Rv0158,Rv0158,brown,0.632725131,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0159c,PE3,purple,0.373962174,PE/PPE,NA,NA
gene:Rv0160c,PE4,palevioletred3,0.885872839,PE/PPE,NA,NA
gene:Rv0161,Rv0161,lightcyan,0.177332944,intermediary metabolism and respiration,generation of precursor metabolites and energy,oxidoreductase activity
gene:Rv0162c,adhE1,lightcyan,0.522083085,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0163,Rv0163,blue,0.51790945,conserved hypotheticals,NA,hydrolase activity
gene:Rv0164,TB18.5,tan,0.818920377,conserved hypotheticals,NA,NA
gene:Rv0165c,mce1R,darkgreen,0.673831624,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0166,fadD5,midnightblue,0.749791683,lipid metabolism,NA,ligase activity
gene:Rv0167,yrbE1A,midnightblue,0.865000027,"virulence, detoxification, adaptation",NA,transporter activity
gene:Rv0168,yrbE1B,midnightblue,0.871617244,"virulence, detoxification, adaptation",NA,transporter activity
gene:Rv0169,mce1A,midnightblue,0.911186316,"virulence, detoxification, adaptation",cell adhesion,cytoskeletal protein binding
gene:Rv0170,mce1B,midnightblue,0.886902268,"virulence, detoxification, adaptation",NA,NA
gene:Rv0171,mce1C,midnightblue,0.924643769,"virulence, detoxification, adaptation",NA,NA
gene:Rv0172,mce1D,midnightblue,0.884313088,"virulence, detoxification, adaptation",NA,NA
gene:Rv0173,lprK,midnightblue,0.89322067,cell wall and cell processes,NA,NA
gene:Rv0174,mce1F,midnightblue,0.89826747,"virulence, detoxification, adaptation",NA,NA
gene:Rv0175,Rv0175,pink,0.762611501,cell wall and cell processes,NA,NA
gene:Rv0176,Rv0176,magenta,0.910520157,cell wall and cell processes,NA,NA
gene:Rv0177,Rv0177,tan,0.897936622,conserved hypotheticals,NA,NA
gene:Rv0178,Rv0178,tan,0.82601897,cell wall and cell processes,NA,NA
gene:Rv0179c,lprO,lightyellow,0.626812217,cell wall and cell processes,NA,NA
gene:Rv0180c,Rv0180c,greenyellow,0.76587663,cell wall and cell processes,NA,NA
gene:Rv0181c,Rv0181c,yellow,0.152883966,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv0182c,sigG,yellow,0.353992096,information pathways,"transcription, DNA-templated, regulation of transcription, DNA-templated","DNA binding, regulation of transcription, DNA-templated"
gene:Rv0183,Rv0183,pink,0.806778905,intermediary metabolism and respiration,lipid metabolic process,hydrolase activity
gene:Rv0184,Rv0184,brown,0.906943586,conserved hypotheticals,NA,NA
gene:Rv0185,Rv0185,brown,0.945464546,conserved hypotheticals,NA,NA
gene:Rv0186,bglS,brown,0.939054549,intermediary metabolism and respiration,carbohydrate metabolic process,hydrolase activity
gene:Rv0186A,mymT,green,0.940813725,"virulence, detoxification, adaptation",metal ion homeostasis,NA
gene:Rv0187,Rv0187,turquoise,-0.386759487,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0188,Rv0188,green,0.833352137,cell wall and cell processes,NA,NA
gene:Rv0189c,ilvD,magenta,0.866565452,intermediary metabolism and respiration,cellular amino acid metabolic process,lyase activity
gene:Rv0190,Rv0190,darkolivegreen,0.895050418,conserved hypotheticals,NA,NA
gene:Rv0191,Rv0191,red,0.358024586,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0192,Rv0192,yellow,-0.039601664,conserved hypotheticals,NA,NA
gene:Rv0192A,Rv0192A,turquoise,0.506485968,cell wall and cell processes,NA,NA
gene:Rv0193c,Rv0193c,grey,-0.350633228,conserved hypotheticals,NA,NA
gene:Rv0194,Rv0194,yellow,0.718041455,cell wall and cell processes,NA,NA
gene:Rv0195,Rv0195,turquoise,0.635735285,regulatory proteins,"regulation of transcription, DNA-templated",DNA binding
gene:Rv0196,Rv0196,turquoise,0.036663246,regulatory proteins,"regulation of transcription, DNA-templated",DNA binding
gene:Rv0197,Rv0197,turquoise,0.223404009,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0198c,zmp1,darkorange,0.750582078,intermediary metabolism and respiration,protein maturation,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0199,Rv0199,brown,0.622049516,cell wall and cell processes,NA,NA
gene:Rv0200,Rv0200,pink,0.657116772,cell wall and cell processes,NA,NA
gene:Rv0201c,Rv0201c,darkred,0.617625335,conserved hypotheticals,NA,NA
gene:Rv0202c,mmpL11,yellow,0.634159714,cell wall and cell processes,NA,NA
gene:Rv0203,Rv0203,thistle2,0.899036451,cell wall and cell processes,NA,NA
gene:Rv0204c,Rv0204c,blue,0.556539596,cell wall and cell processes,NA,NA
gene:Rv0205,Rv0205,blue,0.810718449,cell wall and cell processes,transmembrane transport,NA
gene:Rv0206c,mmpL3,brown,0.718431193,cell wall and cell processes,"cell wall organization or biogenesis, lipid metabolic process",lipid binding
gene:Rv0207c,Rv0207c,midnightblue,0.672329465,conserved hypotheticals,NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0208c,Rv0208c,cyan,0.286481234,intermediary metabolism and respiration,NA,NA
gene:Rv0209,Rv0209,darkslateblue,0.76559305,conserved hypotheticals,NA,NA
gene:Rv0210,Rv0210,lightcyan,0.433687809,conserved hypotheticals,NA,NA
gene:Rv0211,pckA,turquoise,0.588973754,intermediary metabolism and respiration,NA,NA
gene:Rv0212c,nadR,paleturquoise,0.894683043,regulatory proteins,nucleobase-containing small molecule metabolic process,transferase activity
gene:Rv0213c,Rv0213c,paleturquoise,0.898589846,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0214,fadD4,paleturquoise,0.833435131,lipid metabolism,NA,ligase activity
gene:Rv0215c,fadE3,pink,0.747119179,lipid metabolism,NA,oxidoreductase activity
gene:Rv0216,Rv0216,blue,0.360590646,intermediary metabolism and respiration,NA,NA
gene:Rv0217c,lipW,thistle2,0.76933793,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv0218,Rv0218,darkgreen,0.684460437,cell wall and cell processes,NA,NA
gene:Rv0219,Rv0219,blue,0.172434341,cell wall and cell processes,NA,NA
gene:Rv0220,lipC,pink,0.798198041,intermediary metabolism and respiration,lipid metabolic process,hydrolase activity
gene:Rv0221,Rv0221,pink,0.843327243,lipid metabolism,"lipid metabolic process, carbohydrate metabolic process",transferase activity
gene:Rv0222,echA1,pink,0.872315432,lipid metabolism,NA,lyase activity
gene:Rv0223c,Rv0223c,purple,0.793048952,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0224c,Rv0224c,magenta,0.746749596,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0225,Rv0225,magenta,0.711520625,cell wall and cell processes,NA,transferase activity
gene:Rv0226c,Rv0226c,pink,0.958349385,cell wall and cell processes,NA,NA
gene:Rv0227c,Rv0227c,tan,0.801794822,cell wall and cell processes,NA,NA
gene:Rv0228,Rv0228,brown,0.493882815,intermediary metabolism and respiration,"carbohydrate metabolic process, carbohydrate derivative metabolic process, lipid metabolic process",transferase activity
gene:Rv0229c,Rv0229c,blue,0.444673179,cell wall and cell processes,NA,NA
gene:Rv0230c,php,brown,0.150813766,lipid metabolism,NA,hydrolase activity
gene:Rv0231,fadE4,black,0.55466655,lipid metabolism,NA,oxidoreductase activity
gene:Rv0232,Rv0232,green,0.674954294,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0233,nrdB,green,0.660393275,information pathways,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process",oxidoreductase activity
gene:Rv0234c,gabD1,brown,0.566800963,intermediary metabolism and respiration,generation of precursor metabolites and energy,oxidoreductase activity
gene:Rv0235c,Rv0235c,magenta,0.754062218,cell wall and cell processes,protein maturation,NA
gene:Rv0236c,aftD,magenta,0.952648906,cell wall and cell processes,carbohydrate metabolic process,transferase activity
gene:Rv0236A,Rv0236A,brown,0.794423211,cell wall and cell processes,NA,NA
gene:Rv0237,lpqI,magenta,0.956994056,cell wall and cell processes,"carbohydrate derivative metabolic process, carbohydrate metabolic process, cell wall organization or biogenesis",hydrolase activity
gene:Rv0238,Rv0238,turquoise,0.527463966,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0239,vapB24,brown,0.503556075,"virulence, detoxification, adaptation",NA,NA
gene:Rv0240,vapC24,sienna3,0.488420799,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0241c,htdX,darkred,0.857173689,intermediary metabolism and respiration,lipid metabolic process,"lyase activity, transferase activity"
gene:Rv0242c,fabG4,darkred,0.887980805,lipid metabolism,lipid metabolic process,oxidoreductase activity
gene:Rv0243,fadA2,darkred,0.892017166,lipid metabolism,NA,transferase activity
gene:Rv0244c,fadE5,darkgrey,0.268139581,lipid metabolism,lipid metabolic process,oxidoreductase activity
gene:Rv0245,Rv0245,grey60,0.713655118,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0246,Rv0246,thistle1,0.664208375,cell wall and cell processes,NA,NA
gene:Rv0247c,Rv0247c,blue,0.440461695,intermediary metabolism and respiration,generation of precursor metabolites and energy,"generation of precursor metabolites and energy, oxidoreductase activity"
gene:Rv0248c,Rv0248c,thistle2,0.815887124,intermediary metabolism and respiration,"generation of precursor metabolites and energy, lipid metabolic process","generation of precursor metabolites and energy, oxidoreductase activity"
gene:Rv0249c,Rv0249c,skyblue,0.72034673,intermediary metabolism and respiration,NA,NA
gene:Rv0250c,Rv0250c,black,0.453962916,conserved hypotheticals,NA,NA
gene:Rv0251c,hsp,green,0.843708347,"virulence, detoxification, adaptation",NA,NA
gene:Rv0252,nirB,steelblue,0.321535475,intermediary metabolism and respiration,nitrogen cycle metabolic process,oxidoreductase activity
gene:Rv0253,nirD,steelblue,0.343162585,intermediary metabolism and respiration,nitrogen cycle metabolic process,"oxidoreductase activity, transmembrane transport, transporter activity"
gene:Rv0254c,cobU,black,0.632995389,intermediary metabolism and respiration,vitamin metabolic process,transferase activity
gene:Rv0255c,cobQ1,salmon,0.258655351,intermediary metabolism and respiration,NA,NA
gene:Rv0256c,PPE2,salmon,0.322682081,PE/PPE,NA,NA
gene:Rv0257,Rv0257,turquoise,0.566524463,conserved hypotheticals,NA,NA
gene:Rv0258c,Rv0258c,darkolivegreen,0.793746062,conserved hypotheticals,"regulation of transcription, DNA-templated",NA
